"transactionid";"item";"quantity"
"8b0f7032-d9b7-42f7-b617-92cfca0b8bca";"Bell's Two-Hearted Ale";1
"8b0f7032-d9b7-42f7-b617-92cfca0b8bca";"Melvin 2x4 Double IPA";2
"8b0f7032-d9b7-42f7-b617-92cfca0b8bca";"Chilli";1
"d499b1e8-ac8c-4274-a2d5-1839ff3b64d6";"Deviled Eggs";3
"d499b1e8-ac8c-4274-a2d5-1839ff3b64d6";"Suarez Family Palatine Pils";2
"d499b1e8-ac8c-4274-a2d5-1839ff3b64d6";"Extra Gold";3
"d499b1e8-ac8c-4274-a2d5-1839ff3b64d6";"Onion Rings";1
"27ec0afa-8500-446a-8905-7f303282294e";"Bell's Two-Hearted Ale";1
"27ec0afa-8500-446a-8905-7f303282294e";"Chilli";3
"27ec0afa-8500-446a-8905-7f303282294e";"Onion Rings";3
"27ec0afa-8500-446a-8905-7f303282294e";"Melvin 2x4 Double IPA";2
"27ec0afa-8500-446a-8905-7f303282294e";"Suarez Family Palatine Pils";1
"25caef97-7671-4c26-b74f-0428c5a98bc7";"Melvin 2x4 Double IPA";2
"25caef97-7671-4c26-b74f-0428c5a98bc7";"Bell's Two-Hearted Ale";3
"25caef97-7671-4c26-b74f-0428c5a98bc7";"Nachos";2
"25caef97-7671-4c26-b74f-0428c5a98bc7";"Pigs in a Blanket";2
"c223399c-e63c-4ea6-9c3a-3375af0bf802";"Dogfish SeaQuench";3
"c223399c-e63c-4ea6-9c3a-3375af0bf802";"Onion Rings";2
"c223399c-e63c-4ea6-9c3a-3375af0bf802";"Nachos";2
"95301152-3490-4188-a7a6-36c3cbec3a3d";"Bell's Two-Hearted Ale";3
"95301152-3490-4188-a7a6-36c3cbec3a3d";"Melvin 2x4 Double IPA";1
"1fe2f91e-4228-4374-96c0-c22219a407fe";"Onion Rings";3
"1fe2f91e-4228-4374-96c0-c22219a407fe";"Dogfish SeaQuench";1
"1fe2f91e-4228-4374-96c0-c22219a407fe";"Melvin 2x4 Double IPA";3
"c27cda17-1658-4d5c-b5da-44ce3b653c0b";"Bell's Two-Hearted Ale";3
"c27cda17-1658-4d5c-b5da-44ce3b653c0b";"Michelob Golden Draft Light";1
"c27cda17-1658-4d5c-b5da-44ce3b653c0b";"Chilli";1
"c27cda17-1658-4d5c-b5da-44ce3b653c0b";"Extra Gold";2
"8dc32d41-49e0-4b56-aeba-bad6ffc04268";"Suarez Family Palatine Pils";1
"8dc32d41-49e0-4b56-aeba-bad6ffc04268";"Allagash White";1
"8dc32d41-49e0-4b56-aeba-bad6ffc04268";"Bell's Two-Hearted Ale";1
"8dc32d41-49e0-4b56-aeba-bad6ffc04268";"Nachos";2
"8dc32d41-49e0-4b56-aeba-bad6ffc04268";"Extra Gold";3
"abaccce2-7a48-41c8-8015-51464fb27b33";"Nachos";3
"abaccce2-7a48-41c8-8015-51464fb27b33";"Bell's Two-Hearted Ale";2
"abaccce2-7a48-41c8-8015-51464fb27b33";"Suarez Family Palatine Pils";1
"7748a512-fd21-4785-bf42-b70875437500";"Nachos";1
"7748a512-fd21-4785-bf42-b70875437500";"Melvin 2x4 Double IPA";3
"7748a512-fd21-4785-bf42-b70875437500";"Bell's Two-Hearted Ale";1
"7748a512-fd21-4785-bf42-b70875437500";"Onion Rings";2
"2f959909-c343-4e64-bdf4-585b79e426d5";"Artichoke Dip";2
"2f959909-c343-4e64-bdf4-585b79e426d5";"Onion Rings";3
"2f959909-c343-4e64-bdf4-585b79e426d5";"Chilli";3
"93eaeffc-d43b-482f-b5e9-dda13e0d3ec6";"Extra Gold";2
"8764e8b3-e6a5-4bd4-9b8f-e90fd7fa65cf";"Deviled Eggs";2
"8764e8b3-e6a5-4bd4-9b8f-e90fd7fa65cf";"Pigs in a Blanket";2
"980f506d-51b5-4ecc-ade8-dc175c462e6d";"Deviled Eggs";1
"980f506d-51b5-4ecc-ade8-dc175c462e6d";"Dogfish SeaQuench";1
"980f506d-51b5-4ecc-ade8-dc175c462e6d";"Nachos";2
"980f506d-51b5-4ecc-ade8-dc175c462e6d";"Bell's Two-Hearted Ale";2
"980f506d-51b5-4ecc-ade8-dc175c462e6d";"Artichoke Dip";3
"a9bd715b-5d5a-495c-ba98-cf5259054aec";"Deviled Eggs";1
"a9bd715b-5d5a-495c-ba98-cf5259054aec";"Chilli";1
"a9bd715b-5d5a-495c-ba98-cf5259054aec";"Artichoke Dip";1
"a9bd715b-5d5a-495c-ba98-cf5259054aec";"Michelob Golden Draft Light";2
"697c9c48-9e1e-45e0-ae9a-78026a369206";"Dogfish SeaQuench";3
"697c9c48-9e1e-45e0-ae9a-78026a369206";"Bell's Two-Hearted Ale";1
"697c9c48-9e1e-45e0-ae9a-78026a369206";"Deviled Eggs";3
"697c9c48-9e1e-45e0-ae9a-78026a369206";"Chilli";2
"697c9c48-9e1e-45e0-ae9a-78026a369206";"Artichoke Dip";1
"2a200018-857c-43fd-b090-d4a01a736fbf";"Pigs in a Blanket";2
"2a200018-857c-43fd-b090-d4a01a736fbf";"Chilli";3
"53198e44-8b2a-445c-89c4-63ce92e67c84";"Extra Gold";1
"53198e44-8b2a-445c-89c4-63ce92e67c84";"Deviled Eggs";3
"eff39e25-97d7-40c0-839e-db1eddc90a13";"Pigs in a Blanket";3
"47652a07-767d-4261-80e9-88f9b685c2d7";"Michelob Golden Draft Light";1
"47652a07-767d-4261-80e9-88f9b685c2d7";"Pigs in a Blanket";1
"47652a07-767d-4261-80e9-88f9b685c2d7";"Nachos";3
"b9babc89-66f6-4c42-90b0-82e056f068f4";"Pigs in a Blanket";2
"b9babc89-66f6-4c42-90b0-82e056f068f4";"Onion Rings";1
"984e8b9c-df68-4921-bfef-558d618e1bba";"Extra Gold";3
"375d5b92-a2fd-4e09-aac4-3123ca684048";"Bell's Two-Hearted Ale";3
"f23fa5f9-6a01-4ca0-b866-7abcc4deac0d";"Pigs in a Blanket";2
"f23fa5f9-6a01-4ca0-b866-7abcc4deac0d";"Chilli";1
"f23fa5f9-6a01-4ca0-b866-7abcc4deac0d";"Artichoke Dip";1
"f23fa5f9-6a01-4ca0-b866-7abcc4deac0d";"Onion Rings";1
"b0339d93-5886-40bd-a561-9a17f50ac0f4";"Pigs in a Blanket";1
"40adb6d1-b7b9-4d78-8b46-f7504021a787";"Melvin 2x4 Double IPA";1
"40adb6d1-b7b9-4d78-8b46-f7504021a787";"Extra Gold";1
"40adb6d1-b7b9-4d78-8b46-f7504021a787";"Allagash White";1
"40adb6d1-b7b9-4d78-8b46-f7504021a787";"Bell's Two-Hearted Ale";3
"daafdb39-bacc-46b3-ae07-d5bc0b0263c5";"Chilli";2
"be318495-8fa0-41f3-a367-bb54d28b7b1b";"Melvin 2x4 Double IPA";2
"be318495-8fa0-41f3-a367-bb54d28b7b1b";"Michelob Golden Draft Light";1
"ede84e11-528a-4ab4-8232-ef44a60e5479";"Bell's Two-Hearted Ale";2
"ede84e11-528a-4ab4-8232-ef44a60e5479";"Melvin 2x4 Double IPA";2
"ede84e11-528a-4ab4-8232-ef44a60e5479";"Artichoke Dip";2
"ede84e11-528a-4ab4-8232-ef44a60e5479";"Extra Gold";3
"c02f9564-9558-4deb-a6e3-e3b330d11f08";"Artichoke Dip";2
"c02f9564-9558-4deb-a6e3-e3b330d11f08";"Bell's Two-Hearted Ale";2
"c02f9564-9558-4deb-a6e3-e3b330d11f08";"Chilli";1
"c02f9564-9558-4deb-a6e3-e3b330d11f08";"Allagash White";1
"c02f9564-9558-4deb-a6e3-e3b330d11f08";"Suarez Family Palatine Pils";1
"3db5a868-375f-4eb0-9127-dedf38159361";"Michelob Golden Draft Light";3
"3db5a868-375f-4eb0-9127-dedf38159361";"Artichoke Dip";3
"3db5a868-375f-4eb0-9127-dedf38159361";"Chilli";3
"3db5a868-375f-4eb0-9127-dedf38159361";"Bell's Two-Hearted Ale";2
"97e66051-3a58-4cc7-aac6-6d529de11753";"Artichoke Dip";2
"97e66051-3a58-4cc7-aac6-6d529de11753";"Nachos";3
"97e66051-3a58-4cc7-aac6-6d529de11753";"Bell's Two-Hearted Ale";3
"316b2c5c-b021-46bf-b303-c49dd51bd112";"Extra Gold";3
"316b2c5c-b021-46bf-b303-c49dd51bd112";"Dogfish SeaQuench";1
"316b2c5c-b021-46bf-b303-c49dd51bd112";"Deviled Eggs";3
"52492e18-76f8-4c9e-84ae-33dc5d2685ff";"Suarez Family Palatine Pils";1
"52492e18-76f8-4c9e-84ae-33dc5d2685ff";"Dogfish SeaQuench";2
"52492e18-76f8-4c9e-84ae-33dc5d2685ff";"Melvin 2x4 Double IPA";1
"52492e18-76f8-4c9e-84ae-33dc5d2685ff";"Pigs in a Blanket";3
"f7076a93-6c69-4890-911c-5897283a7f19";"Artichoke Dip";2
"f7076a93-6c69-4890-911c-5897283a7f19";"Extra Gold";3
"598f8935-fb37-4443-9724-ae86084c49c5";"Melvin 2x4 Double IPA";3
"598f8935-fb37-4443-9724-ae86084c49c5";"Suarez Family Palatine Pils";3
"598f8935-fb37-4443-9724-ae86084c49c5";"Bell's Two-Hearted Ale";3
"90eb57f7-43c4-4b82-9640-d80868ec6ebd";"Allagash White";3
"90eb57f7-43c4-4b82-9640-d80868ec6ebd";"Nachos";2
"8922df0d-3e71-42ee-9f49-35ba33986663";"Bell's Two-Hearted Ale";2
"8922df0d-3e71-42ee-9f49-35ba33986663";"Extra Gold";3
"8922df0d-3e71-42ee-9f49-35ba33986663";"Melvin 2x4 Double IPA";2
"8922df0d-3e71-42ee-9f49-35ba33986663";"Suarez Family Palatine Pils";1
"8922df0d-3e71-42ee-9f49-35ba33986663";"Deviled Eggs";2
"c75deaef-acf9-4c1c-94d2-aca467208fe0";"Allagash White";2
"cd6955bc-3a1c-4a3c-98c1-749f134a96b2";"Melvin 2x4 Double IPA";2
"cd6955bc-3a1c-4a3c-98c1-749f134a96b2";"Onion Rings";2
"cd6955bc-3a1c-4a3c-98c1-749f134a96b2";"Extra Gold";1
"6da55415-f026-449b-ad14-b3abf4bfe353";"Deviled Eggs";1
"6da55415-f026-449b-ad14-b3abf4bfe353";"Suarez Family Palatine Pils";3
"6da55415-f026-449b-ad14-b3abf4bfe353";"Pigs in a Blanket";2
"6747cf1b-5eeb-4c8b-83af-85a36563a83a";"Dogfish SeaQuench";3
"6747cf1b-5eeb-4c8b-83af-85a36563a83a";"Deviled Eggs";1
"6747cf1b-5eeb-4c8b-83af-85a36563a83a";"Chilli";2
"6747cf1b-5eeb-4c8b-83af-85a36563a83a";"Michelob Golden Draft Light";3
"99ca7371-ffe1-4806-8f53-8065d0b8b43e";"Nachos";1
"99ca7371-ffe1-4806-8f53-8065d0b8b43e";"Extra Gold";1
"99ca7371-ffe1-4806-8f53-8065d0b8b43e";"Melvin 2x4 Double IPA";2
"64bb4920-63ab-4403-b105-3339b92f3074";"Melvin 2x4 Double IPA";3
"64bb4920-63ab-4403-b105-3339b92f3074";"Michelob Golden Draft Light";1
"64bb4920-63ab-4403-b105-3339b92f3074";"Suarez Family Palatine Pils";3
"64bb4920-63ab-4403-b105-3339b92f3074";"Deviled Eggs";1
"591ba0f7-1a5c-460a-86c4-922e9b22dd3f";"Bell's Two-Hearted Ale";1
"591ba0f7-1a5c-460a-86c4-922e9b22dd3f";"Extra Gold";2
"591ba0f7-1a5c-460a-86c4-922e9b22dd3f";"Melvin 2x4 Double IPA";3
"451405ae-e7b7-4bad-a85b-1fc6adf9b818";"Bell's Two-Hearted Ale";3
"451405ae-e7b7-4bad-a85b-1fc6adf9b818";"Onion Rings";2
"451405ae-e7b7-4bad-a85b-1fc6adf9b818";"Suarez Family Palatine Pils";2
"3bb970ee-268a-4d7c-9d33-7155309f79b0";"Artichoke Dip";3
"3bb970ee-268a-4d7c-9d33-7155309f79b0";"Bell's Two-Hearted Ale";3
"c560716d-6496-4024-b6fe-c6982a4e0666";"Artichoke Dip";2
"c560716d-6496-4024-b6fe-c6982a4e0666";"Melvin 2x4 Double IPA";1
"c560716d-6496-4024-b6fe-c6982a4e0666";"Chilli";3
"c560716d-6496-4024-b6fe-c6982a4e0666";"Dogfish SeaQuench";2
"56c2fdee-508a-4daf-bdb4-0c96153dd447";"Melvin 2x4 Double IPA";2
"56c2fdee-508a-4daf-bdb4-0c96153dd447";"Nachos";3
"56c2fdee-508a-4daf-bdb4-0c96153dd447";"Extra Gold";3
"56c2fdee-508a-4daf-bdb4-0c96153dd447";"Suarez Family Palatine Pils";1
"56c2fdee-508a-4daf-bdb4-0c96153dd447";"Artichoke Dip";1
"42246909-12ea-4dc8-8fe4-9f2d5a3ea3a6";"Michelob Golden Draft Light";1
"42246909-12ea-4dc8-8fe4-9f2d5a3ea3a6";"Melvin 2x4 Double IPA";3
"fa38d35d-d353-423f-bfb9-34710cefd438";"Michelob Golden Draft Light";1
"6d4b0356-95c5-4c46-8769-2de5d25464c3";"Brooklyn Bel Air Sour";1
"6d4b0356-95c5-4c46-8769-2de5d25464c3";"Stolichnaya Citrona";1
"6d4b0356-95c5-4c46-8769-2de5d25464c3";"Buffalo Wings";1
"6d4b0356-95c5-4c46-8769-2de5d25464c3";"Tired Hands SaisonHands";1
"6d4b0356-95c5-4c46-8769-2de5d25464c3";"Russian River STS";2
"ee5f5d14-5004-43aa-8bb2-d919865d6b36";"Allagash White";2
"ee5f5d14-5004-43aa-8bb2-d919865d6b36";"Artichoke Dip";1
"ee5f5d14-5004-43aa-8bb2-d919865d6b36";"Russian River STS";2
"e8632d2c-4ac6-4e14-893e-cc650d1e1148";"Shrimp Cocktail";1
"e8632d2c-4ac6-4e14-893e-cc650d1e1148";"Hefeweizen";3
"e8632d2c-4ac6-4e14-893e-cc650d1e1148";"Pigs in a Blanket";3
"e8632d2c-4ac6-4e14-893e-cc650d1e1148";"New Belgium La Folie";1
"e8632d2c-4ac6-4e14-893e-cc650d1e1148";"Mozzarella Sticks";1
"4bbec63c-6150-4b9a-ab7c-dbe481aafae8";"Stolichnaya Citrona";2
"40316013-d19c-4bab-b438-d664a8d7df01";"Mozzarella Sticks";3
"40316013-d19c-4bab-b438-d664a8d7df01";"Buffalo Wings";1
"40316013-d19c-4bab-b438-d664a8d7df01";"Tired Hands SaisonHands";1
"40316013-d19c-4bab-b438-d664a8d7df01";"Russian River STS";3
"40316013-d19c-4bab-b438-d664a8d7df01";"Stolichnaya Citrona";1
"484a99c3-e8b6-4b3c-baca-86fc81e4ea91";"Russian River STS";2
"484a99c3-e8b6-4b3c-baca-86fc81e4ea91";"Disco Fries";2
"570337eb-2c9c-4969-80ab-185a9104b74b";"Russian River STS";3
"e1cc933d-dae7-41bf-a029-019bf4b31e49";"Allagash White";2
"e1cc933d-dae7-41bf-a029-019bf4b31e49";"Michelob ULTRA";2
"1b0971e8-248b-46a9-a15a-09eb189fb02b";"Tired Hands SaisonHands";1
"1b0971e8-248b-46a9-a15a-09eb189fb02b";"Disco Fries";1
"1b0971e8-248b-46a9-a15a-09eb189fb02b";"Stolichnaya Citrona";2
"c16047ce-0cf9-49bb-87d3-ef2974845bfc";"Mozzarella Sticks";3
"c16047ce-0cf9-49bb-87d3-ef2974845bfc";"Tired Hands SaisonHands";1
"c16047ce-0cf9-49bb-87d3-ef2974845bfc";"Buffalo Wings";2
"c16047ce-0cf9-49bb-87d3-ef2974845bfc";"Shrimp Cocktail";2
"1d721ee1-3d45-4b61-bb4c-2dc8c6258d41";"Tired Hands SaisonHands";3
"1d721ee1-3d45-4b61-bb4c-2dc8c6258d41";"Sloppy Joe";3
"1d721ee1-3d45-4b61-bb4c-2dc8c6258d41";"Shrimp Cocktail";2
"1d721ee1-3d45-4b61-bb4c-2dc8c6258d41";"Michelob ULTRA";3
"9c31383d-fea4-4376-9308-8d45111dc3ca";"Mozzarella Sticks";3
"9c31383d-fea4-4376-9308-8d45111dc3ca";"Cheese Fries";3
"b1f4f072-13a7-4380-b352-d56ef5cc2374";"Brooklyn Bel Air Sour";1
"6a428727-1dd3-40bb-b16d-d1a19dd0eb31";"Shrimp Cocktail";2
"6bb5fb8b-4b3d-4039-90cf-1cf4af188515";"New Belgium La Folie";2
"6bb5fb8b-4b3d-4039-90cf-1cf4af188515";"Stolichnaya Citrona";1
"6bb5fb8b-4b3d-4039-90cf-1cf4af188515";"Fried Pickles";2
"e5c8de79-4c7e-479a-af32-36dc97086cda";"Fried Pickles";1
"e5c8de79-4c7e-479a-af32-36dc97086cda";"Cheese Fries";3
"e5c8de79-4c7e-479a-af32-36dc97086cda";"Sloppy Joe";1
"e5c8de79-4c7e-479a-af32-36dc97086cda";"Russian River STS";3
"8c7b84b6-c886-4539-94c1-f129e40dbed0";"Brooklyn Bel Air Sour";1
"8c7b84b6-c886-4539-94c1-f129e40dbed0";"Cheese Fries";2
"8c7b84b6-c886-4539-94c1-f129e40dbed0";"Sloppy Joe";3
"8c7b84b6-c886-4539-94c1-f129e40dbed0";"Michelob ULTRA";1
"8c7b84b6-c886-4539-94c1-f129e40dbed0";"Russian River STS";1
