bar;item;price
Allie's;Melvin 2x4 Double IPA;6.39
Allie's;Original Premium Lager Dog;6.44
Allie's;New Belgium La Folie;6.68
Allie's;Sun King Afternoon Delight;7.23
Allie's;Marz Diliner Weisse;7.44
Allie's;Bell's Two-Hearted Ale;7.52
Allie's;Bud;8.41
Allie's;Dogfish SeaQuench;8.42
Allie's;Michelob Golden Draft;9.34
Allie's;Russian River STS;9.35
Allie's;Zima Citrus;9.52
Allie's;Budweiser;9.66
Allie's;Deviled Eggs;10.04
Allie's;Pizza;10.48
Allie's;Roasted Cauliflower;10.95
Allie's;Artichoke Dip;10.98
Allie's;Sloppy Joe;11.41
Allie's;Burger Sliders;12.39
Allie's;Buffalo Wings;12.41
Allie's;Hot Wings;12.71
Allie's;Nachos;13.67
Allie's;Soft Pretzel;13.91
Alligator Bayou Bar;Michelob ULTRA;5.49
Alligator Bayou Bar;Trilliul Vicinity;5.5
Alligator Bayou Bar;Carton Boat Beer;5.86
Alligator Bayou Bar;Summit Extra Pale Ale;6.47
Alligator Bayou Bar;Original Premium Lager Dog;7.38
Alligator Bayou Bar;Bell's Two-Hearted Ale;7.78
Alligator Bayou Bar;Port Brewing Board Meeting;8.96
Alligator Bayou Bar;Russian River STS;9.05
Alligator Bayou Bar;Original Premium Lager;9.63
Alligator Bayou Bar;Potato Skins;10.29
Alligator Bayou Bar;Popcorn;10.53
Alligator Bayou Bar;Jalapeno Poppers;10.54
Alligator Bayou Bar;Disco Fries;10.91
Alligator Bayou Bar;Sloppy Joe;11.58
Alligator Bayou Bar;Fried Pickles;11.6
Alligator Bayou Bar;Cheese Fries;14.09
Alligator Bayou Bar;Buffalo Wings;14.14
Alligator Bayou Bar;Hot Dogs;14.38
Alligator Bayou Bar;Quesadillas;14.73
Amf Seaway Lanes;Southpaw Light;5.71
Amf Seaway Lanes;Suarez Family Palatine Pils;7.18
Amf Seaway Lanes;The Bruery Mocha Wednesday;7.54
Amf Seaway Lanes;J. Wakefield Miami Madness;8.49
Amf Seaway Lanes;Allagash White;9.34
Amf Seaway Lanes;Russian River STS;9.47
Amf Seaway Lanes;Jalapeno Poppers;12.31
Amf Seaway Lanes;Disco Fries;12.33
Amf Seaway Lanes;Mozzarella Sticks;13.03
Amf Seaway Lanes;Cheese Fries;13.13
Amf Seaway Lanes;Buffalo Wings;13.37
Andrew Blairs Llc;ICEHOUSE;5.92
Andrew Blairs Llc;The Bruery Mocha Wednesday;6.41
Andrew Blairs Llc;Trilliul Vicinity;6.48
Andrew Blairs Llc;Carton Boat Beer;6.59
Andrew Blairs Llc;Summit Extra Pale Ale;6.72
Andrew Blairs Llc;J. Wakefield Miami Madness;7.77
Andrew Blairs Llc;Blue Moon;8.01
Andrew Blairs Llc;New Belgium La Folie;8.03
Andrew Blairs Llc;Sun King Afternoon Delight;8.07
Andrew Blairs Llc;Marz Diliner Weisse;8.09
Andrew Blairs Llc;Killian's;8.25
Andrew Blairs Llc;Lion Bridge Compensation;9.5
Andrew Blairs Llc;Hefeweizen Doppelbock;9.79
Andrew Blairs Llc;Grimm Afterimage;9.81
Andrew Blairs Llc;Holy Mountain Misere Au Borinage;9.84
Andrew Blairs Llc;Zima;9.87
Andrew Blairs Llc;Popcorn;10.26
Andrew Blairs Llc;Deviled Eggs;10.98
Andrew Blairs Llc;Disco Fries;12.65
Andrew Blairs Llc;Shrimp Cocktail;13.21
Andrew Blairs Llc;Artichoke Dip;13.4
Andrew Blairs Llc;Fried Pickles;13.78
Andrew Blairs Llc;Hot Wings;13.86
Andrew Blairs Llc;Nachos;13.89
B B King Blues Club;ICEHOUSE;5.92
B B King Blues Club;The Bruery Mocha Wednesday;6.45
B B King Blues Club;Carton Boat Beer;6.45
B B King Blues Club;Tired Hands SaisonHands;6.64
B B King Blues Club;Toppling Goliath King Sue;6.78
B B King Blues Club;J. Wakefield Miami Madness;7.09
B B King Blues Club;Original Premium Lager Dog;7.25
B B King Blues Club;Sun King Afternoon Delight;7.61
B B King Blues Club;Bud;7.66
B B King Blues Club;Hefeweizen Doppelbock;8.59
B B King Blues Club;Live Oak Hefeweizen;8.62
B B King Blues Club;Allagash White;8.86
B B King Blues Club;Michelob Golden Draft;9.08
B B King Blues Club;Holy Mountain Misere Au Borinage;9.18
B B King Blues Club;Chuckanut Kolsch Style;9.41
B B King Blues Club;Budweiser;9.73
B B King Blues Club;Popcorn;10.58
B B King Blues Club;Roasted Cauliflower;11.29
B B King Blues Club;Shrimp Cocktail;11.35
B B King Blues Club;Chilli;11.67
B B King Blues Club;Pigs in a Blanket;11.94
B B King Blues Club;Fried Pickles;12.55
B B King Blues Club;Quesadillas;12.67
Bailey's Bistro;Hefeweizen;5.03
Bailey's Bistro;ICEHOUSE;5.29
Bailey's Bistro;Original Premium;5.51
Bailey's Bistro;Trilliul Vicinity;5.67
Bailey's Bistro;Carton Boat Beer;5.96
Bailey's Bistro;Tired Hands SaisonHands;5.96
Bailey's Bistro;Melvin 2x4 Double IPA;6.46
Bailey's Bistro;Toppling Goliath King Sue;6.66
Bailey's Bistro;J. Wakefield Miami Madness;6.84
Bailey's Bistro;New Belgium La Folie;7.1
Bailey's Bistro;Marz Diliner Weisse;7.13
Bailey's Bistro;Killian's;7.96
Bailey's Bistro;Bud;8.12
Bailey's Bistro;Devils Backbone Vienna Lager;8.68
Bailey's Bistro;Dogfish SeaQuench;8.72
Bailey's Bistro;Grimm Afterimage;8.88
Bailey's Bistro;Chuckanut Kolsch Style;8.92
Bailey's Bistro;Budweiser;9.22
Bailey's Bistro;Extra Gold;9.45
Bailey's Bistro;Moonlight Death and Taxes;9.7
Bailey's Bistro;Roasted Cauliflower;11.29
Bailey's Bistro;Sloppy Joe;12.05
Bailey's Bistro;Burger Sliders;12.17
Bailey's Bistro;Buffalo Wings;12.87
Bailey's Bistro;Nachos;14.31
Bailey's Bistro;Soft Pretzel;14.93
Bakers Keyboard Lounge;Hefeweizen;5.22
Bakers Keyboard Lounge;J. Wakefield Miami Madness;5.52
Bakers Keyboard Lounge;Michelob Golden Draft Light;6.91
Bakers Keyboard Lounge;Blue Moon;7.26
Bakers Keyboard Lounge;Hefeweizen Doppelbock;7.39
Bakers Keyboard Lounge;Live Oak Hefeweizen;7.98
Bakers Keyboard Lounge;Michelob Golden Draft;8.22
Bakers Keyboard Lounge;Russian River STS;8.46
Bakers Keyboard Lounge;Popcorn;10.17
Bakers Keyboard Lounge;Maple-Glazed Peanuts;10.6
Bakers Keyboard Lounge;Artichoke Dip;10.96
Bakers Keyboard Lounge;Sloppy Joe;14.08
Bakers Keyboard Lounge;Buffalo Wings;14.89
Bamboo Lounge;Hefeweizen;5.25
Bamboo Lounge;ICEHOUSE;5.63
Bamboo Lounge;Suarez Family Palatine Pils;6.37
Bamboo Lounge;New Glarus Berliner Weiss;7.09
Bamboo Lounge;Tired Hands SaisonHands;7.27
Bamboo Lounge;Creamy Dark;7.44
Bamboo Lounge;Wicked Weed Black Angel;7.66
Bamboo Lounge;Stolichnaya Citrona;7.92
Bamboo Lounge;Bud;8.11
Bamboo Lounge;Live Oak Hefeweizen;8.17
Bamboo Lounge;Allagash White;8.4
Bamboo Lounge;Zima Citrus;8.4
Bamboo Lounge;Budweiser;8.43
Bamboo Lounge;Extra Gold;8.76
Bamboo Lounge;Moonlight Death and Taxes;9.73
Bamboo Lounge;Deviled Eggs;11.55
Bamboo Lounge;Burger Sliders;12.17
Bamboo Lounge;Mozzarella Sticks;12.22
Bamboo Lounge;Buffalo Wings;13.32
Bamboo Lounge;Hot Wings;13.45
Bamboo Lounge;Onion Rings;13.47
Bamboo Lounge;Hot Dogs;13.62
Bamboo Lounge;Nachos;14.3
Bamboo Lounge;Soft Pretzel;14.34
Bar Louie Ann Arbor;Southpaw Light;5.17
Bar Louie Ann Arbor;Suarez Family Palatine Pils;5.21
Bar Louie Ann Arbor;Michelob Amber Bock;5.89
Bar Louie Ann Arbor;Brooklyn Bel Air Sour;5.99
Bar Louie Ann Arbor;Original Premium;6.01
Bar Louie Ann Arbor;Tired Hands SaisonHands;6.05
Bar Louie Ann Arbor;Melvin 2x4 Double IPA;6.32
Bar Louie Ann Arbor;Creamy Dark;6.37
Bar Louie Ann Arbor;Wicked Weed Black Angel;6.78
Bar Louie Ann Arbor;Original Premium Lager Dog;6.8
Bar Louie Ann Arbor;Bell's Two-Hearted Ale;6.92
Bar Louie Ann Arbor;Lion Bridge Compensation;7.16
Bar Louie Ann Arbor;Devils Backbone Vienna Lager;8.05
Bar Louie Ann Arbor;Hefeweizen Doppelbock;8.54
Bar Louie Ann Arbor;Live Oak Hefeweizen;8.62
Bar Louie Ann Arbor;Grimm Afterimage;9.25
Bar Louie Ann Arbor;Russian River STS;9.47
Bar Louie Ann Arbor;Zima;9.76
Bar Louie Ann Arbor;Budweiser;9.82
Bar Louie Ann Arbor;Moonlight Death and Taxes;9.97
Bar Louie Ann Arbor;Potato Skins;10.64
Bar Louie Ann Arbor;French Fries;11.39
Bar Louie Ann Arbor;Popcorn;11.91
Bar Louie Ann Arbor;Maple-Glazed Peanuts;12.09
Bar Louie Ann Arbor;Roasted Cauliflower;12.57
Bar Louie Ann Arbor;Fried Pickles;13.07
Bar Louie Ann Arbor;Cheese Fries;13.83
Bar Louie Ann Arbor;Hot Wings;14.03
Bar Louie Ann Arbor;Nachos;14.07
Bar Louie Ann Arbor;Quesadillas;14.61
Bar Louie Denver;Hefeweizen;5.5
Bar Louie Denver;ICEHOUSE;5.72
Bar Louie Denver;New Glarus Berliner Weiss;6.11
Bar Louie Denver;Original Premium;6.18
Bar Louie Denver;Carton Boat Beer;6.33
Bar Louie Denver;J. Wakefield Miami Madness;6.51
Bar Louie Denver;Creamy Dark;6.91
Bar Louie Denver;Michelob Golden Draft Light;7.04
Bar Louie Denver;New Belgium La Folie;7.82
Bar Louie Denver;Hefeweizen Doppelbock;8.34
Bar Louie Denver;Budweiser;8.64
Bar Louie Denver;Extra Gold;9.07
Bar Louie Denver;Potato Skins;11.76
Bar Louie Denver;Maple-Glazed Peanuts;12.2
Bar Louie Denver;Pizza;12.34
Bar Louie Denver;Roasted Cauliflower;12.75
Bar Louie Denver;Mozzarella Sticks;12.89
Bar Louie Denver;Hot Wings;13.08
Bar Louie Denver;Hot Dogs;13.5
Bar Louie Denver;Nachos;13.81
Bar Louie Denver;Quesadillas;13.85
Bar Louie Denver;Soft Pretzel;14.1
Barn;Hefeweizen;5.32
Barn;Southpaw Light;5.89
Barn;Suarez Family Palatine Pils;6.19
Barn;Michelob Amber Bock;6.68
Barn;The Bruery Mocha Wednesday;7.04
Barn;Trilliul Vicinity;7.21
Barn;Toppling Goliath King Sue;7.62
Barn;Blue Moon;7.66
Barn;Live Oak Hefeweizen;8.42
Barn;Allagash White;8.46
Barn;Port Brewing Board Meeting;9.11
Barn;Chuckanut Kolsch Style;9.46
Barn;Original Premium Lager;9.6
Barn;Moonlight Death and Taxes;9.92
Barn;Popcorn;11.21
Barn;Deviled Eggs;12.39
Barn;Maple-Glazed Peanuts;12.72
Barn;Burger Sliders;13.04
Barn;Cheese Fries;13.61
Barn;Hot Wings;13.63
Bavarian Beer Nuts;New Glarus Berliner Weiss;5.3
Bavarian Beer Nuts;The Bruery Mocha Wednesday;7.59
Bavarian Beer Nuts;Trilliul Vicinity;8.56
Bavarian Beer Nuts;Marz Diliner Weisse;8.58
Bavarian Beer Nuts;Holy Mountain Misere Au Borinage;9.15
Bavarian Beer Nuts;Potato Skins;10.18
Bavarian Beer Nuts;Maple-Glazed Peanuts;12.73
Bavarian Beer Nuts;Jalapeno Poppers;12.74
Bavarian Beer Nuts;Pizza;13.68
Bavarian Beer Nuts;Pigs in a Blanket;13.73
Bavarian Beer Nuts;Buffalo Wings;14.8
Bayou Bar & Grill;Original Premium;5.35
Bayou Bar & Grill;Tired Hands SaisonHands;5.75
Bayou Bar & Grill;Bell's Two-Hearted Ale;5.78
Bayou Bar & Grill;Killian's;5.97
Bayou Bar & Grill;Lion Bridge Compensation;6.66
Bayou Bar & Grill;Devils Backbone Vienna Lager;6.98
Bayou Bar & Grill;Grimm Afterimage;7.05
Bayou Bar & Grill;Port Brewing Board Meeting;7.12
Bayou Bar & Grill;Holy Mountain Misere Au Borinage;7.35
Bayou Bar & Grill;Zima Citrus;8.13
Bayou Bar & Grill;Potato Skins;10.6
Bayou Bar & Grill;Deviled Eggs;11.59
Bayou Bar & Grill;Jalapeno Poppers;12.36
Bayou Bar & Grill;Disco Fries;12.58
Bayou Bar & Grill;Roasted Cauliflower;12.91
Bayou Bar & Grill;Burger Sliders;13.02
Bayou Bar & Grill;Chilli;13.9
Bayou Bar & Grill;Cheese Fries;14.19
Bayou Bar & Grill;Onion Rings;14.86
Beach House;Hefeweizen;5.15
Beach House;Southpaw Light;5.83
Beach House;Sauza Diablo;5.85
Beach House;Tired Hands SaisonHands;5.86
Beach House;Melvin 2x4 Double IPA;6.77
Beach House;Toppling Goliath King Sue;7.11
Beach House;Creamy Dark;7.33
Beach House;Michelob Golden Draft Light;7.47
Beach House;Wicked Weed Black Angel;7.69
Beach House;Sun King Afternoon Delight;7.8
Beach House;Bud;7.9
Beach House;Devils Backbone Vienna Lager;8.51
Beach House;Port Brewing Board Meeting;8.91
Beach House;Holy Mountain Misere Au Borinage;9.72
Beach House;Zima;9.73
Beach House;Original Premium Lager;9.83
Beach House;Budweiser;9.93
Beach House;French Fries;10.37
Beach House;Popcorn;10.66
Beach House;Deviled Eggs;10.89
Beach House;Jalapeno Poppers;11.04
Beach House;Shrimp Cocktail;11.77
Beach House;Sloppy Joe;13.76
Beach House;Chilli;13.98
Beach House;Cheese Fries;14.5
Bed And Breakfast Travel;ICEHOUSE;5.01
Bed And Breakfast Travel;Michelob ULTRA;5.12
Bed And Breakfast Travel;New Glarus Berliner Weiss;5.24
Bed And Breakfast Travel;Toppling Goliath King Sue;5.94
Bed And Breakfast Travel;Michelob Golden Draft Light;6.04
Bed And Breakfast Travel;Sun King Afternoon Delight;6.36
Bed And Breakfast Travel;Marz Diliner Weisse;6.47
Bed And Breakfast Travel;Killian's;6.79
Bed And Breakfast Travel;Allagash White;6.81
Bed And Breakfast Travel;Russian River STS;7.02
Bed And Breakfast Travel;Zima;8.85
Bed And Breakfast Travel;Zima Citrus;9.53
Bed And Breakfast Travel;French Fries;10.35
Bed And Breakfast Travel;Deviled Eggs;10.77
Bed And Breakfast Travel;Jalapeno Poppers;12.07
Bed And Breakfast Travel;Shrimp Cocktail;12.81
Bed And Breakfast Travel;Artichoke Dip;12.93
Bed And Breakfast Travel;Chilli;13.54
Bed And Breakfast Travel;Onion Rings;13.93
Bed And Breakfast Travel;Hot Dogs;14.66
BEER;Michelob ULTRA;5.73
BEER;Trilliul Vicinity;5.85
BEER;Marz Diliner Weisse;6.61
BEER;Lion Bridge Compensation;7.2
BEER;Hefeweizen Doppelbock;8.04
BEER;Port Brewing Board Meeting;8.44
BEER;Zima Citrus;8.55
BEER;Extra Gold;9.56
BEER;Maple-Glazed Peanuts;10.52
BEER;Disco Fries;11.61
BEER;Sloppy Joe;12.6
BEER;Chilli;12.94
BEER;Pigs in a Blanket;13.22
BEER;Mozzarella Sticks;14.24
BEER;Onion Rings;14.47
BEER;Nachos;14.48
Bentz Street Sports Bar;Michelob ULTRA;5.13
Bentz Street Sports Bar;New Glarus Berliner Weiss;5.15
Bentz Street Sports Bar;Trilliul Vicinity;6.07
Bentz Street Sports Bar;Carton Boat Beer;6.5
Bentz Street Sports Bar;Melvin 2x4 Double IPA;7.01
Bentz Street Sports Bar;Toppling Goliath King Sue;7.42
Bentz Street Sports Bar;Wicked Weed Black Angel;7.8
Bentz Street Sports Bar;New Belgium La Folie;7.85
Bentz Street Sports Bar;Sun King Afternoon Delight;7.95
Bentz Street Sports Bar;Bell's Two-Hearted Ale;8.06
Bentz Street Sports Bar;Dogfish SeaQuench;8.73
Bentz Street Sports Bar;Allagash White;9.27
Bentz Street Sports Bar;Michelob Golden Draft;9.3
Bentz Street Sports Bar;Zima Citrus;9.39
Bentz Street Sports Bar;Original Premium Lager;9.47
Bentz Street Sports Bar;Budweiser;9.74
Bentz Street Sports Bar;Deviled Eggs;10.2
Bentz Street Sports Bar;Disco Fries;10.29
Bentz Street Sports Bar;Pizza;10.53
Bentz Street Sports Bar;Burger Sliders;10.9
Bentz Street Sports Bar;Chilli;12.29
Bentz Street Sports Bar;Pigs in a Blanket;13.77
Bentz Street Sports Bar;Cheese Fries;14.27
Bentz Street Sports Bar;Hot Dogs;14.31
Better Way Marketing;Hefeweizen;5.12
Better Way Marketing;Michelob Amber Bock;5.92
Better Way Marketing;Brooklyn Bel Air Sour;6.6
Better Way Marketing;Trilliul Vicinity;6.86
Better Way Marketing;Summit Extra Pale Ale;7.58
Better Way Marketing;Tired Hands SaisonHands;7.89
Better Way Marketing;Wicked Weed Black Angel;8.26
Better Way Marketing;Stolichnaya Citrona;8.45
Better Way Marketing;New Belgium La Folie;8.52
Better Way Marketing;Russian River STS;9.09
Better Way Marketing;Chuckanut Kolsch Style;9.72
Better Way Marketing;Maple-Glazed Peanuts;10.25
Better Way Marketing;Jalapeno Poppers;10.71
Better Way Marketing;Disco Fries;11.07
Better Way Marketing;Pizza;12.39
Better Way Marketing;Artichoke Dip;13.38
Better Way Marketing;Chilli;14.15
Better Way Marketing;Hot Dogs;14.8
Big Chill;Suarez Family Palatine Pils;5.27
Big Chill;Brooklyn Bel Air Sour;5.55
Big Chill;Toppling Goliath King Sue;5.89
Big Chill;Wicked Weed Black Angel;6.4
Big Chill;Blue Moon;6.45
Big Chill;New Belgium La Folie;6.7
Big Chill;Marz Diliner Weisse;6.92
Big Chill;Killian's;6.98
Big Chill;Lion Bridge Compensation;7.71
Big Chill;Hefeweizen Doppelbock;7.78
Big Chill;Holy Mountain Misere Au Borinage;8.09
Big Chill;Zima;9.22
Big Chill;Budweiser;9.4
Big Chill;Extra Gold;9.88
Big Chill;Deviled Eggs;10.04
Big Chill;Sloppy Joe;11.69
Big Chill;Fried Pickles;11.75
Big Chill;Hot Dogs;12.06
Big Chill;Nachos;14.0
Big Chill;Quesadillas;14.1
Billabongpub;Michelob ULTRA;5.44
Billabongpub;New Glarus Berliner Weiss;5.62
Billabongpub;The Bruery Mocha Wednesday;6.01
Billabongpub;Trilliul Vicinity;6.18
Billabongpub;Carton Boat Beer;6.82
Billabongpub;Toppling Goliath King Sue;6.89
Billabongpub;Stolichnaya Citrona;7.07
Billabongpub;Killian's;7.2
Billabongpub;Allagash White;7.78
Billabongpub;Russian River STS;8.84
Billabongpub;Holy Mountain Misere Au Borinage;9.09
Billabongpub;Burial Griddle;9.18
Billabongpub;Zima Citrus;9.55
Billabongpub;Budweiser;9.99
Billabongpub;Jalapeno Poppers;11.12
Billabongpub;Pizza;11.66
Billabongpub;Shrimp Cocktail;12.15
Billabongpub;Buffalo Wings;13.6
Billabongpub;Hot Dogs;14.1
Billabongpub;Nachos;14.55
Billabongpub;Quesadillas;14.76
Billy Goat Tavern;Michelob Amber Bock;5.26
Billy Goat Tavern;Brooklyn Bel Air Sour;5.57
Billy Goat Tavern;New Belgium La Folie;6.26
Billy Goat Tavern;Bell's Two-Hearted Ale;7.61
Billy Goat Tavern;Port Brewing Board Meeting;8.88
Billy Goat Tavern;Zima;9.07
Billy Goat Tavern;Maple-Glazed Peanuts;10.52
Billy Goat Tavern;Jalapeno Poppers;11.84
Billy Goat Tavern;Disco Fries;12.6
Billy Goat Tavern;Artichoke Dip;13.62
Billy Goat Tavern;Fried Pickles;14.23
Billy Goat Tavern;Cheese Fries;14.75
Billy Goat Tavern;Onion Rings;14.98
Bishops Pub & Grill;Michelob Amber Bock;5.25
Bishops Pub & Grill;Carton Boat Beer;7.06
Bishops Pub & Grill;Summit Extra Pale Ale;7.19
Bishops Pub & Grill;Burial Griddle;8.91
Bishops Pub & Grill;Budweiser;9.36
Bishops Pub & Grill;Potato Skins;10.11
Bishops Pub & Grill;Disco Fries;11.01
Bishops Pub & Grill;Pizza;11.87
Bishops Pub & Grill;Artichoke Dip;11.92
Bishops Pub & Grill;Chilli;12.06
Bishops Pub & Grill;Hot Wings;12.07
Bishops Pub & Grill;Quesadillas;13.89
Bishops Pub & Grill;Soft Pretzel;14.64
Black Sheep;Michelob ULTRA;6.1
Black Sheep;Suarez Family Palatine Pils;6.61
Black Sheep;New Glarus Berliner Weiss;6.87
Black Sheep;Brooklyn Bel Air Sour;7.03
Black Sheep;Tired Hands SaisonHands;7.1
Black Sheep;Wicked Weed Black Angel;7.15
Black Sheep;Stolichnaya Citrona;7.41
Black Sheep;Original Premium Lager Dog;7.55
Black Sheep;Killian's;8.03
Black Sheep;Lion Bridge Compensation;8.13
Black Sheep;Bud;8.68
Black Sheep;Devils Backbone Vienna Lager;9.29
Black Sheep;Dogfish SeaQuench;9.74
Black Sheep;Allagash White;9.74
Black Sheep;Zima;9.88
Black Sheep;Chilli;10.26
Black Sheep;Fried Pickles;12.05
Black Sheep;Mozzarella Sticks;13.58
Black Sheep;Cheese Fries;13.78
Black Sheep;Hot Wings;13.85
Bleachers Inc;Suarez Family Palatine Pils;5.23
Bleachers Inc;Michelob Amber Bock;5.52
Bleachers Inc;The Bruery Mocha Wednesday;6.16
Bleachers Inc;Trilliul Vicinity;6.8
Bleachers Inc;Original Premium Lager Dog;6.99
Bleachers Inc;New Belgium La Folie;7.25
Bleachers Inc;Marz Diliner Weisse;8.28
Bleachers Inc;Bell's Two-Hearted Ale;8.77
Bleachers Inc;Lion Bridge Compensation;8.88
Bleachers Inc;Grimm Afterimage;9.43
Bleachers Inc;Port Brewing Board Meeting;9.61
Bleachers Inc;Burial Griddle;9.77
Bleachers Inc;Potato Skins;10.78
Bleachers Inc;French Fries;12.09
Bleachers Inc;Deviled Eggs;13.54
Bleachers Inc;Shrimp Cocktail;13.75
Bleachers Inc;Artichoke Dip;14.17
Bleachers Inc;Burger Sliders;14.37
Bleachers Inc;Pigs in a Blanket;14.84
Bleachers Inc;Hot Wings;15.0
Blue Moon Lounge;Southpaw Light;5.39
Blue Moon Lounge;Michelob ULTRA;5.76
Blue Moon Lounge;Carton Boat Beer;5.76
Blue Moon Lounge;Summit Extra Pale Ale;5.96
Blue Moon Lounge;Tired Hands SaisonHands;6.63
Blue Moon Lounge;Toppling Goliath King Sue;6.77
Blue Moon Lounge;Creamy Dark;6.8
Blue Moon Lounge;Wicked Weed Black Angel;6.9
Blue Moon Lounge;Stolichnaya Citrona;6.91
Blue Moon Lounge;Original Premium Lager Dog;7.16
Blue Moon Lounge;Sun King Afternoon Delight;7.55
Blue Moon Lounge;Bud;7.63
Blue Moon Lounge;Devils Backbone Vienna Lager;8.08
Blue Moon Lounge;Dogfish SeaQuench;8.62
Blue Moon Lounge;Hefeweizen Doppelbock;9.01
Blue Moon Lounge;Michelob Golden Draft;9.19
Blue Moon Lounge;Zima;9.36
Blue Moon Lounge;Zima Citrus;9.74
Blue Moon Lounge;Budweiser;9.8
Blue Moon Lounge;Potato Skins;10.32
Blue Moon Lounge;Jalapeno Poppers;10.34
Blue Moon Lounge;Disco Fries;11.65
Blue Moon Lounge;Roasted Cauliflower;12.22
Blue Moon Lounge;Sloppy Joe;13.04
Blue Moon Lounge;Chilli;13.12
Blue Moon Lounge;Cheese Fries;13.86
Blue Moon Lounge;Nachos;14.25
Blue Moon Lounge;Soft Pretzel;14.27
Blue Water Inn;Brooklyn Bel Air Sour;5.85
Blue Water Inn;The Bruery Mocha Wednesday;5.99
Blue Water Inn;Trilliul Vicinity;6.16
Blue Water Inn;Summit Extra Pale Ale;6.58
Blue Water Inn;Melvin 2x4 Double IPA;7.06
Blue Water Inn;J. Wakefield Miami Madness;7.64
Blue Water Inn;Creamy Dark;7.67
Blue Water Inn;Blue Moon;7.87
Blue Water Inn;Lion Bridge Compensation;8.13
Blue Water Inn;Live Oak Hefeweizen;8.68
Blue Water Inn;Russian River STS;8.73
Blue Water Inn;Holy Mountain Misere Au Borinage;8.96
Blue Water Inn;Budweiser;8.99
Blue Water Inn;Moonlight Death and Taxes;9.94
Blue Water Inn;Potato Skins;10.28
Blue Water Inn;Sloppy Joe;11.25
Blue Water Inn;Buffalo Wings;12.69
Blue Water Inn;Hot Wings;13.94
Blue Water Inn;Onion Rings;14.73
Blue Water Inn;Nachos;14.9
Board Of Trade;Suarez Family Palatine Pils;5.74
Board Of Trade;Michelob Amber Bock;6.32
Board Of Trade;Trilliul Vicinity;6.37
Board Of Trade;Summit Extra Pale Ale;6.87
Board Of Trade;Toppling Goliath King Sue;7.16
Board Of Trade;Bell's Two-Hearted Ale;7.94
Board Of Trade;Bud;8.1
Board Of Trade;Budweiser;8.66
Board Of Trade;Extra Gold;9.69
Board Of Trade;French Fries;10.23
Board Of Trade;Popcorn;10.68
Board Of Trade;Deviled Eggs;10.82
Board Of Trade;Pizza;14.04
Board Of Trade;Buffalo Wings;14.58
Board Of Trade;Quesadillas;14.98
Boss;Southpaw Light;5.43
Boss;New Glarus Berliner Weiss;5.73
Boss;The Bruery Mocha Wednesday;6.12
Boss;Tired Hands SaisonHands;6.4
Boss;Wicked Weed Black Angel;6.59
Boss;Stolichnaya Citrona;6.82
Boss;Original Premium Lager Dog;7.15
Boss;Lion Bridge Compensation;7.31
Boss;Dogfish SeaQuench;7.81
Boss;Live Oak Hefeweizen;8.52
Boss;Michelob Golden Draft;8.74
Boss;Zima Citrus;9.54
Boss;Extra Gold;9.63
Boss;Potato Skins;10.3
Boss;Maple-Glazed Peanuts;11.15
Boss;Roasted Cauliflower;11.38
Boss;Cheese Fries;11.59
Boss;Buffalo Wings;12.47
Boss;Hot Wings;13.0
