"Name";"State";"City";"Address";"Phone";"License";"Open Time";"Close Time"
"Brass Key";"MD";"Annapolis";"177-7148 Neque Ave";"(439) 151-0419";181898;10;23
"Brewery";"WY";"Laramie";"P.O. Box 793, 6233 Tellus Rd.";"(696) 800-5266";685601;8;20
"Broadway Regency Restaurant";"VT";"Rutland";"907-3541 Ut, Rd.";"(908) 314-1958";870999;7;22
"Broadway Sports Bar Grill";"LA";"New Orleans";"P.O. Box 746, 5972 Semper Ave";"(849) 197-1268";652100;7;21
"Brookhaven White Collar Unit";"PA";"Harrisburg";"349-5549 Consectetuer Rd.";"(524) 445-5816";502566;10;22
"Brownie's";"OK";"Tulsa";"Ap #754-8117 Commodo Av.";"(305) 932-9294";442216;8;22
"Brownstone Lounge";"IN";"Evansville";"3219 Magnis Av.";"(874) 465-1691";518373;9;22
"Bubba's";"CT";"New Haven";"Ap #371-7688 Rhoncus. Street";"(242) 906-9490";863301;9;21
"BUCKEYE TAVERN";"MN";"Rochester";"564-6705 Nulla Rd.";"(574) 548-1940";185399;8;23
"Bull Pen Bar";"GA";"Atlanta";"407-9579 Non, St.";"(424) 769-7899";848814;9;22
"Bunk House";"NE";"Bellevue";"346-2945 Purus Rd.";"(928) 952-2722";589269;8;20
"Burnt Creek Club";"MA";"Springfield";"8501 Mauris St.";"(473) 127-6215";376217;7;22
"Cabaret West Glen";"NV";"Reno";"534-2848 Donec Av.";"(514) 511-0523";714253;10;21
"Cabin";"TX";"San Antonio";"Ap #946-4237 Mollis Ave";"(372) 463-4776";764017;10;22
"Cactus Jacks Tavern";"MO";"Saint Louis";"412-5371 Mauris, Rd.";"(150) 429-3955";759337;6;21
"Call Of The Wild";"MA";"Springfield";"Ap #937-1154 A Road";"(177) 934-5617";276374;6;20
"Campus Inn";"VA";"Newport News";"734-4088 Nunc Avenue";"(756) 730-6058";692554;10;22
"Canal Street Tavern";"IA";"Iowa City";"Ap #537-4611 Phasellus St.";"(271) 471-8300";104703;8;24
"Capn's Catering Llc";"WI";"Madison";"Ap #682-4687 Proin Street";"(191) 166-2271";247113;6;20
"Carriage Inn";"TN";"Nashville";"P.O. Box 795, 931 Phasellus Street";"(368) 496-5743";924117;6;23
"Casa Nova Bar";"WY";"Wyoming";"Ap #297-5084 Phasellus Av.";"(413) 311-1581";616485;6;22
"Catwalk";"CA";"San Jose";"Ap #742-7867 Ut Rd.";"(771) 939-3388";242824;8;24
"Centennial Fine Wine Amp Spirits";"PA";"Harrisburg";"Ap #972-334 Libero. Rd.";"(446) 114-5057";190327;7;21
"Central Bar";"UT";"West Valley City";"2658 Aliquet. Ave";"(300) 313-4958";435039;9;20
"Centre Point Bar & Grill";"AR";"Springdale";"P.O. Box 415, 4321 Lobortis St.";"(477) 250-5192";499269;6;23
"Charlie Goodnight's Restaurant";"MO";"Springfield";"7390 Nunc Avenue";"(395) 923-8481";230200;9;24
"Char's Has The Blues";"GA";"Columbus";"Ap #526-8244 Primis St.";"(976) 863-9544";109426;9;22
"Checkered Flag Sports Bar";"PA";"Erie";"Ap #269-5520 Morbi Avenue";"(651) 259-3376";248461;8;20
"Cheers Wine & Spirits";"AR";"Fayetteville";"4632 Eget Av.";"(674) 438-9983";580236;10;24
"Chet's Place";"CO";"Fort Collins";"942-5368 Morbi Avenue";"(632) 821-1083";511695;10;23
"Chippendales Entertainment";"AL";"Mobile";"Ap #861-9631 Sed Road";"(645) 565-5438";549291;9;20
"Chotard Recreation";"DE";"Wilmington";"Ap #771-8437 Sed Av.";"(280) 616-9576";581047;10;22
"City View Tavern";"TX";"Austin";"192-7147 A Avenue";"(347) 532-2066";750022;7;20
"Clark Street Ale House";"KY";"Covington";"1907 Dolor Avenue";"(201) 110-8593";300109;6;21
"Club";"UT";"Sandy";"P.O. Box 501, 1757 Hendrerit Road";"(168) 832-4889";791074;6;20
"Club Boi";"CA";"Sacramento";"P.O. Box 698, 7911 Duis Street";"(353) 936-0903";140017;10;20
"Club Orleans";"KY";"Lexington";"P.O. Box 233, 4356 Donec Av.";"(319) 345-7043";186778;6;23
"Club Salsa Oko";"MI";"Warren";"904-8739 Tellus Avenue";"(640) 474-8232";873098;7;20
"Cochran Keating";"CO";"Aurora";"Ap #492-134 Tristique Road";"(628) 362-0619";250437;6;22
"Coconutz";"OH";"Akron";"Ap #931-5750 Risus Ave";"(450) 769-4965";551867;10;22
"Colonial Inn";"UT";"Sandy";"Ap #238-2199 Mi St.";"(984) 672-2361";598091;8;20
"Comedy Cellar";"CO";"Colorado Springs";"157-4951 Gravida. Avenue";"(356) 359-5661";958998;7;20
"Comedy Sportz";"IA";"Cedar Rapids";"P.O. Box 742, 4032 Lorem St.";"(203) 555-8656";533026;10;21
"Continental";"CT";"Bridgeport";"189-3354 Aliquet St.";"(793) 724-6651";916266;8;21
"Corner Pub";"CA";"San Francisco";"1351 Elit, Street";"(862) 720-1539";594551;9;24
"County Line Pub";"IL";"Aurora";"Ap #267-6856 A Ave";"(311) 924-7192";782708;10;24
"Cove Bar & Grill";"LA";"Metairie";"Ap #176-6219 Elit. Road";"(357) 211-8397";243986;9;20
"Crystal Room";"MA";"Springfield";"P.O. Box 756, 9009 Nunc Avenue";"(265) 791-3279";703211;10;21
"Cup O' Joe-Short North";"AZ";"Phoenix";"651-3555 Quis, St.";"(336) 162-0624";669859;8;22
"Dark Horse Tavern";"CA";"San Diego";"3551 Sed Road";"(252) 260-1516";364569;8;24
"Dead Horse";"VA";"Richmond";"941-3924 Orci, St.";"(805) 973-6265";478643;9;22
"Dean S. Karlan";"OH";"Cincinnati";"Ap #883-7887 Nulla. St.";"(645) 747-1638";543775;7;24
"Decades";"OK";"Norman";"P.O. Box 900, 8355 Eros. Ave";"(568) 894-2200";670806;10;21
"Deja Vu Ii";"WI";"Madison";"Ap #759-3261 Mus. Rd.";"(592) 756-0154";607526;9;21
"Desperados";"DE";"Newark";"9705 Et, St.";"(820) 190-2438";191090;8;20
"Deviney's Iron Horse Pub";"NE";"Grand Island";"4450 Malesuada. St.";"(646) 593-4150";217902;6;23
"Diamond Jim's";"VA";"Richmond";"P.O. Box 687, 2453 Et Street";"(640) 122-1683";630156;7;23
"Dogpatch Tavern";"DE";"Dover";"P.O. Box 187, 7960 Eleifend Street";"(546) 572-6713";789557;9;24
"Driftwood Inn";"KY";"Owensboro";"P.O. Box 487, 6348 Ut St.";"(211) 362-2496";101884;9;23
"East Atlanta Restaurant & Lng";"HI";"Hilo";"Ap #119-1221 Vehicula Ave";"(185) 640-8950";320520;10;22
"Eddie C's Pub & Billiards";"ID";"Boise";"P.O. Box 190, 9640 Arcu. St.";"(892) 425-3783";373212;6;23
"Eddy's Sports Pub";"PA";"Harrisburg";"189-767 Ac Rd.";"(312) 268-1321";202925;9;20
"Edmond Mukamal D.d.s";"AR";"Little Rock";"6058 Porttitor St.";"(489) 425-4546";974573;9;23
"Ed's Tavern";"AL";"Birmingham";"Ap #236-8992 Neque Rd.";"(745) 771-8910";319642;7;22
"Elite Home Medical Supply";"IN";"Evansville";"P.O. Box 412, 6456 Vehicula. St.";"(852) 329-5018";484399;9;20
"Elizabeth Delisser";"MN";"Rochester";"180-1812 Mattis Road";"(788) 378-4625";772593;9;24
"Emerald City Of Pensacola Inc";"IN";"Gary";"2552 Sit St.";"(571) 975-4975";239619;9;23
"Entourage Night Club";"IN";"Gary";"Ap #225-3376 Libero St.";"(378) 956-0421";612170;9;22
"Eschbacher Engineering";"VT";"Montpelier";"Ap #799-9392 Risus. St.";"(408) 886-3598";781068;6;21
"Espinos Mexican Bar & Grill";"WY";"Gillette";"Ap #410-8908 Ac Ave";"(184) 181-1450";180266;6;20
"Evolutions";"LA";"Shreveport";"118-5199 Eget Rd.";"(387) 400-0283";974063;7;23
"Fast Eddy's";"MN";"Bloomington";"Ap #460-4510 Nisi Av.";"(247) 523-3467";135403;7;24
"Fergie's Pub";"ME";"Portland";"Ap #994-2478 Sed St.";"(708) 122-6236";172979;8;22
"Fiddler's Inn";"MD";"Rockville";"P.O. Box 142, 3341 Pellentesque Ave";"(712) 806-1412";133431;8;23
"Fionn Mac Cool's Irish Pub";"TN";"Chattanooga";"Ap #644-1954 Dictum Road";"(723) 732-7110";607755;6;21
"Fitz' Bar & Grill";"OH";"Toledo";"Ap #670-5453 Ligula Street";"(730) 648-7972";450272;6;23
"Fitzgerald's Night Club";"ME";"South Portland";"152-6053 Fusce Rd.";"(964) 122-8627";248870;7;23
"Foundry";"NE";"Grand Island";"637-2970 Vestibulum Street";"(837) 836-3119";843797;6;21
"Four Seasons Wine & Liquor";"FL";"Tampa";"Ap #275-5123 Magna Street";"(937) 442-0658";544149;9;20
"Fran's Place Inc";"PA";"Pittsburgh";"P.O. Box 943, 7189 Sagittis Street";"(436) 201-7366";159539;6;21
"Freddie's";"IL";"Chicago";"446-4033 Integer Ave";"(994) 851-1110";612038;7;23
"Fred's Bar & Grill";"ME";"South Portland";"916-1323 Felis Street";"(925) 827-1635";520268;8;20
"Froggy Bottomz";"MN";"Bloomington";"726-777 Sed St.";"(731) 569-0515";254827;8;24
"Fujioka's Wine & Spirits; LLC";"IL";"Aurora";"P.O. Box 633, 9512 Morbi St.";"(845) 166-3086";718105;9;23
"Funny Farm";"MS";"Gulfport";"Ap #363-9447 Ligula St.";"(386) 926-0456";500118;6;20
"Games";"OR";"Gresham";"P.O. Box 570, 7459 Sit Av.";"(414) 213-2858";604309;7;20
"Gators Plaza Cafe";"ME";"Auburn";"Ap #669-3721 Elit. Avenue";"(848) 250-9643";988054;6;21
"George's Union Station";"ID";"Boise";"7540 Arcu. Av.";"(766) 845-6819";374635;9;22
"Giada's";"CA";"San Jose";"1022 Risus. Rd.";"(306) 741-0057";140408;10;22
"Ginger Man";"CA";"Los Angeles";"Ap #798-3743 Lorem Avenue";"(855) 741-5474";839002;8;21
"GREAT TREATS INC Dba MULLENS DAIRY BAR";"NE";"Lincoln";"Ap #942-9457 Erat. Avenue";"(958) 441-3377";454166;10;23
"Griffin's Sports Bar & Grill";"VT";"South Burlington";"P.O. Box 446, 3343 In Av.";"(505) 662-3202";456201;10;22
"Gunsmoke Saloon";"OH";"Cleveland";"396-5959 Sem St.";"(894) 617-0228";458902;10;23
"H2O & Water Bar Lounge";"MS";"Hattiesburg";"Ap #795-3337 Id Road";"(433) 141-3732";986348;8;20
"Hailey's";"WA";"Tacoma";"375 Enim, Road";"(241) 811-0762";493132;6;24
"Hangar 9";"KY";"Lexington";"Ap #219-138 Magna. Rd.";"(881) 550-6970";750120;7;20
"Headliners Music Hall";"UT";"Provo";"7206 Cursus Av.";"(998) 801-4495";806287;7;23
"Hell's Kitchen Lounge";"WI";"Racine";"P.O. Box 696, 231 Eu St.";"(918) 504-0178";416395;7;20
"Highdive";"UT";"Provo";"P.O. Box 831, 8445 Diam. St.";"(921) 823-5488";703403;8;24
"Highlander Cafe & Pub";"TN";"Clarksville";"329-7585 Cras Road";"(713) 913-8945";643073;7;20
"Hoops";"KY";"Louisville";"P.O. Box 697, 1922 Est. Av.";"(723) 167-6084";193731;10;23
"Hoovers Pub & Grill";"TX";"Houston";"132-5159 Duis Ave";"(340) 873-9108";967921;8;20
"HUGOS FROG BAR";"KY";"Louisville";"912-1335 Pede. St.";"(426) 514-2220";328808;7;22
"Hye Bar";"VA";"Virginia Beach";"5673 Euismod St.";"(598) 359-8855";968220;7;21
"Improv Asylum";"VT";"Essex";"Ap #951-3755 Vulputate, Av.";"(717) 827-1009";624312;10;22
"Improv Comedy Club";"DE";"Dover";"268-3192 Amet Ave";"(331) 686-7976";798841;8;22
"Indigo Joe's Sports Pub & Bar";"FL";"Orlando";"Ap #826-2970 Odio. Rd.";"(535) 275-7654";580958;9;22
"Industry Bar Code Alliance";"IA";"Davenport";"Ap #173-6987 Ante. Rd.";"(969) 839-7112";243833;9;21
"Inn Zone";"KS";"Overland Park";"Ap #372-1752 Dolor Rd.";"(120) 349-6963";743621;8;23
"Jack's Tavern";"UT";"West Valley City";"2605 Integer Ave";"(926) 524-5366";651857;9;22
"Jazid";"CA";"Sacramento";"Ap #810-1718 Urna. Avenue";"(144) 891-3702";223534;8;20
"Jesus Our Savior";"KY";"Owensboro";"9380 Dolor, Road";"(914) 281-5375";862123;7;22
"Jukebox";"IN";"Indianapolis";"608-9895 Sed, St.";"(646) 283-9675";194146;10;21
"Julie's";"UT";"Salt Lake City";"Ap #557-4237 Gravida St.";"(141) 716-2686";178099;10;22
"Jungle";"MN";"Minneapolis";"Ap #330-5439 Nisl Rd.";"(644) 545-8779";900230;6;21
"Just One More";"AZ";"Glendale";"Ap #933-5775 Lorem. Rd.";"(462) 621-5328";219203;6;20
"Kalahari Bar";"DE";"Pike Creek";"Ap #290-5415 Ante St.";"(751) 487-6473";970983;10;22
"Kamron Kirkconnell";"AL";"Birmingham";"521-9492 Sed, St.";"(482) 959-0338";516610;8;24
"Keegan's Pub";"IA";"Des Moines";"211-5924 Magna Ave";"(646) 867-2402";756274;6;20
"Keller International Pubg LLC";"OH";"Columbus";"3834 Massa. Av.";"(743) 340-4453";833313;6;23
"Kelly's Irish Saloon";"WA";"Bellevue";"587-1431 Donec Avenue";"(783) 664-1062";880037;6;22
"Kelly's Tavern";"ME";"Bangor";"Ap #534-3525 Ante Avenue";"(146) 818-6324";360883;8;24
"Kelly's Westport Inn";"GA";"Augusta";"Ap #792-9685 Lobortis Av.";"(727) 870-4858";545272;7;21
"Kickers Country Club";"MO";"Columbia";"Ap #253-5880 Sapien. Road";"(275) 785-0097";488513;9;20
"Kitchen K";"VA";"Norfolk";"P.O. Box 100, 4485 Senectus Road";"(259) 709-3539";406337;6;23
"Kyle Johnson";"MA";"Springfield";"Ap #670-4054 Eleifend Rd.";"(424) 402-6321";386618;9;24
"Lamplighter Inn";"OH";"Cincinnati";"Ap #948-9777 Dolor Av.";"(412) 141-5953";744641;9;22
"LAS VEGAS BAR LIQUOR";"CT";"New Haven";"138-9793 Consectetuer, St.";"(803) 557-7949";232403;8;20
"Last Great Watering Hole";"AZ";"Tucson";"P.O. Box 862, 652 Ipsum. Rd.";"(320) 626-0812";340849;10;24
"Laughing Out Loud Productions";"PA";"Philadelphia";"P.O. Box 383, 1217 Ligula Av.";"(736) 327-2490";593319;10;23
"Leather & Lace";"WY";"Laramie";"3078 Augue St.";"(418) 256-1782";360202;9;20
"Legends Patio Bar & Grille";"MA";"Springfield";"P.O. Box 880, 7289 Mi. Road";"(862) 363-3665";352098;10;22
"Lenny's Bar & Grill";"CO";"Lakewood";"P.O. Box 850, 2867 Lectus. Road";"(988) 546-1871";519738;7;20
"Live On North";"WI";"Racine";"Ap #887-664 Nec, Rd.";"(272) 449-6025";874279;6;21
"Lodge Management Corporation";"AK";"Anchorage";"P.O. Box 267, 2899 Leo. Street";"(513) 399-4031";680901;6;20
"Loki Lounge";"VA";"Newport News";"Ap #804-1148 Sit Avenue";"(611) 463-7463";886545;10;20
"Lsg Sky Chefs";"VA";"Norfolk";"Ap #315-424 Vulputate Av.";"(467) 334-2911";907361;6;23
"Luna Sea";"IN";"Indianapolis";"Ap #265-9849 Erat. Avenue";"(787) 229-5028";857509;7;20
"Lydia's";"MT";"Helena";"P.O. Box 909, 592 Orci, Road";"(396) 796-0549";115098;6;22
"Mad Hatter";"WA";"Vancouver";"P.O. Box 649, 1797 Duis Road";"(609) 369-1267";933405;10;22
"Madame Oar's";"TN";"Chattanooga";"Ap #636-7227 A, Ave";"(571) 682-2062";695204;8;20
"Mail Box";"IA";"Iowa City";"8588 At, Rd.";"(798) 598-7868";972196;7;20
"Main Street Station";"WA";"Vancouver";"6370 Nec, Road";"(565) 127-8161";139909;10;21
"Mason's Cocktail Lounge";"IL";"Aurora";"2612 Sed Rd.";"(617) 794-8038";460171;8;21
"Matilda";"NE";"Grand Island";"376-614 Pede Road";"(506) 992-2471";500328;9;24
"Mc Crossen's Tavern";"CO";"Aurora";"431-2956 Per Av.";"(598) 710-3055";437467;10;24
"Metro";"MT";"Helena";"P.O. Box 235, 2180 Non Ave";"(692) 931-4409";108579;9;20
"Midway Inn";"NE";"Bellevue";"P.O. Box 400, 2718 Lorem Avenue";"(396) 194-7105";602708;10;21
"Mike & C's Family Sports Grill";"WY";"Gillette";"P.O. Box 883, 7964 Aliquet St.";"(945) 760-9847";495718;8;22
"Mill";"WI";"Racine";"5877 Urna Avenue";"(393) 975-1453";362374;8;24
"Mississippi Nights";"MO";"Saint Louis";"852-7710 Natoque Street";"(501) 381-3159";607122;9;22
"Miyagi Sushi Bar & Grill";"TN";"Chattanooga";"3890 Pharetra St.";"(728) 744-4315";919278;7;24
"Moody's";"DE";"Wilmington";"6256 Interdum St.";"(514) 160-1870";579945;10;21
"My Office Bar & Grill";"UT";"West Jordan";"P.O. Box 251, 6038 Vitae Rd.";"(450) 497-0914";765830;9;21
"Nantucket Wine & Spirits";"AK";"Ketchikan";"6787 Elementum Av.";"(355) 864-7432";689751;8;20
"Nec Leo Morbi Ltd";"MD";"Baltimore";"343-9775 Eu Rd.";"(613) 255-6454";500238;6;23
"Nemo's Sports Cafe";"MD";"Frederick";"P.O. Box 158, 6175 Adipiscing Ave";"(297) 115-4487";382557;7;23
"New West";"OK";"Norman";"Ap #157-4421 Cursus Avenue";"(708) 467-1508";115856;9;24
"Next";"AK";"Ketchikan";"623-2279 Eros St.";"(523) 535-3949";905396;9;23
"Nicky Blaine's";"OK";"Tulsa";"5075 Elit. St.";"(830) 644-4666";689360;10;22
"Nightmoves";"GA";"Georgia";"P.O. Box 773, 1692 Vehicula. Av.";"(853) 426-4557";416873;6;23
"Niko's Lodge Bar & Grill";"CO";"Denver";"3493 Odio. Rd.";"(843) 369-2072";244143;9;20
"Nothin Fancy Bar & Grill";"ME";"Auburn";"1503 Elementum Rd.";"(876) 284-4508";481154;9;23
"Novak's Bar & Grill";"AZ";"Mesa";"544-6660 Tincidunt St.";"(636) 140-9583";256590;7;22
"Nyclubscene.com";"MA";"Boston";"6955 Per Rd.";"(883) 691-3345";767503;9;20
"O'Kelly's Sports Bar & Grill";"MA";"Worcester";"104-6019 Lorem St.";"(311) 783-9157";653249;9;24
"One More Time";"CO";"Colorado Springs";"9911 Nunc Ave";"(914) 939-9681";141062;9;23
"Other Side";"NV";"Paradise";"352-5971 Ad Road";"(921) 403-6321";488184;9;22
"Outlaw Saloon";"CT";"Bridgeport";"Ap #725-3384 Risus. Rd.";"(164) 659-5640";349633;6;21
"Oxford's Cafe & Pub";"KS";"Overland Park";"153-4591 Non, St.";"(922) 499-3971";530044;6;20
"Paddy O'Neill's";"PA";"Harrisburg";"Ap #981-2725 Duis Rd.";"(456) 288-1378";861140;7;23
"Pam's Place Bar & Grill";"FL";"Orlando";"P.O. Box 595, 9107 Mauris Av.";"(818) 668-6989";184050;7;24
"Partners";"AZ";"Glendale";"1894 Sit Ave";"(911) 449-7422";468071;8;22
"Party & Banquet Info";"WI";"Milwaukee";"Ap #670-2084 Dui, St.";"(674) 202-2261";990336;8;23
"Past Perfect";"MS";"Jackson";"8448 Dapibus Street";"(249) 976-7398";926318;6;21
"Peabody's Concert Club";"FL";"Miami";"1014 In Street";"(837) 185-6618";963981;6;23
"Penthouse Club";"NV";"Paradise";"9700 Non, Road";"(880) 319-8487";422313;7;23
"Phoenix Bar";"NV";"Henderson";"Ap #675-1699 Donec Road";"(894) 644-2798";257505;6;21
"Pilsen Klub";"IN";"Gary";"Ap #917-684 Purus, St.";"(657) 378-3631";762835;9;20
"Planet Pocono";"MT";"Butte";"552-9074 Nunc, Rd.";"(877) 259-3759";868909;6;21
"Platinum";"CT";"Stamford";"Ap #613-726 Tincidunt Rd.";"(893) 245-1170";752131;7;23
"Platte River Bar & Grill";"VA";"Newport News";"P.O. Box 594, 694 Feugiat St.";"(860) 817-2370";214645;8;20
"Pocono Pub";"MI";"Grand Rapids";"2850 Eleifend Rd.";"(675) 587-5823";858093;8;24
"Poker Pub";"AZ";"Mesa";"1674 Euismod Rd.";"(270) 625-4777";765108;9;23
"Post Office Cafe";"MI";"Detroit";"4038 Lacinia Avenue";"(500) 117-0165";385146;6;20
"Pour House Pub";"AL";"Mobile";"P.O. Box 719, 7495 Lorem Rd.";"(867) 548-4159";531912;7;20
"Pub 44";"MD";"Rockville";"Ap #954-9714 Varius Road";"(227) 260-8410";719136;6;21
"Puck Restaurant & Sports Bar";"MN";"Minneapolis";"3064 Etiam Street";"(122) 201-9978";342605;9;22
"Purple Martini DTC";"IA";"Iowa City";"Ap #135-9503 Phasellus Street";"(951) 445-0103";280833;10;22
"Ramrod Fort Lauderdale";"IA";"Iowa City";"5362 At, St.";"(702) 611-3352";686201;8;21
"Ranch House";"OH";"Columbus";"P.O. Box 228, 1956 Nulla. Street";"(557) 637-3878";205546;10;23
"Rapid Roof Systems";"IA";"Sioux City";"357-9263 Consectetuer Rd.";"(187) 422-7213";697596;10;22
"Rhino's Sports & Spirits";"WY";"Cheyenne";"P.O. Box 664, 3775 Aliquam Av.";"(118) 517-9101";440890;10;23
"Rizzuto & CO Inc";"MI";"Sterling Heights";"850 Erat Avenue";"(530) 677-9280";900415;8;20
"Roadkill Bar & Grille";"WY";"Casper";"P.O. Box 233, 9811 Lobortis St.";"(589) 362-4520";180990;6;24
"Rocky & J D's Tavern";"AL";"Birmingham";"P.O. Box 362, 7957 Odio, Avenue";"(125) 773-0478";523244;7;20
"Roomers";"OH";"Akron";"Ap #361-9688 Massa. Ave";"(123) 557-2806";594734;7;23
"Rusty Spur Saloon";"VT";"Rutland";"195-2797 Leo. Ave";"(528) 411-0824";562575;7;20
"Sam's Place";"PA";"Philadelphia";"603-5512 Metus Avenue";"(424) 619-5212";969907;8;24
"Sand Bar & Grill";"WI";"Kenosha";"2128 Est Rd.";"(887) 331-7804";821500;7;20
"SCENTSATIONAL SALOON";"MO";"Saint Louis";"4564 Aliquet, St.";"(614) 763-3841";692363;10;23
"Schooner Inc";"GA";"Georgia";"283-1091 Nonummy. Road";"(217) 973-1217";811014;8;20
"Shai";"WA";"Spokane";"346-1493 Fringilla. Road";"(748) 320-7944";583012;7;22
"Short Stop";"MN";"Duluth";"P.O. Box 707, 7052 Amet, Street";"(386) 534-1815";965485;7;21
"Show N Tail";"FL";"Orlando";"6206 Pellentesque St.";"(551) 374-6890";773194;10;22
"Silver Dollar";"OK";"Broken Arrow";"5884 Consectetuer, Road";"(598) 106-1184";502345;8;22
"Sky Bar";"LA";"Baton Rouge";"692-8679 Duis Rd.";"(448) 347-1566";866228;9;22
"Snail Beer";"PA";"Harrisburg";"Ap #813-4763 At, Av.";"(555) 370-3116";563736;9;21
"Southside Ale House & Raw Bar";"ME";"Augusta";"P.O. Box 329, 9023 Donec St.";"(686) 629-5600";124959;8;23
"Spirits Nightclub";"GA";"Columbus";"4421 Nec St.";"(867) 397-6960";258004;9;22
"Sportsman Inn";"OK";"Broken Arrow";"Ap #178-5475 Pellentesque St.";"(468) 188-5734";597430;8;20
"Stage One";"CA";"San Francisco";"5794 Tellus St.";"(280) 377-3827";246025;7;22
"Stillwaters Inc";"KS";"Overland Park";"P.O. Box 204, 7737 Primis Rd.";"(585) 206-3468";260749;10;21
"Stone Church";"MS";"Southaven";"693-5613 Pellentesque, St.";"(704) 363-7272";877408;10;22
"Store";"UT";"Sandy";"Ap #615-9518 Sed St.";"(146) 519-6925";565156;6;21
"Strokers Club";"FL";"Jacksonville";"Ap #360-4843 Non, Street";"(146) 262-0917";250577;6;20
"Stubbie Shirt Pub";"WA";"Tacoma";"Ap #424-1640 Donec Rd.";"(252) 662-4880";701884;10;22
"T J's";"MN";"Saint Paul";"639-7885 Magna. Road";"(452) 459-0912";388975;8;24
